epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,183.007,2.70227,2.04915,1.02524,0.4166,0.30858,0.25912,0.07724,2.87352,2.32203,0.954,0.000664789,0.000664789,0.000664789
2,336.817,2.79155,1.73833,0.99185,0.42672,0.32673,0.28581,0.08736,2.78587,1.65928,0.92726,0.00130749,0.00130749,0.00130749
3,491.285,2.77231,1.72976,0.98618,0.44158,0.33113,0.3098,0.10096,2.7346,1.54014,0.92082,0.00192619,0.00192619,0.00192619
4,641.612,2.7114,1.69751,0.97706,0.37896,0.27732,0.24004,0.07494,2.81097,1.69765,0.9356,0.001892,0.001892,0.001892
5,790.05,2.62994,1.63975,0.97214,0.44893,0.30516,0.26149,0.06389,3.15927,1.51411,0.98234,0.001856,0.001856,0.001856
6,942.242,2.61556,1.6039,0.95469,0.47066,0.36768,0.33626,0.10791,2.67165,1.92601,0.90685,0.00182,0.00182,0.00182
7,1089.15,2.58244,1.5611,0.95211,0.49212,0.35026,0.32549,0.09258,2.84906,1.55315,0.93237,0.001784,0.001784,0.001784
8,1236.47,2.56102,1.54643,0.94663,0.54315,0.39639,0.40553,0.1433,2.52465,1.38314,0.88816,0.001748,0.001748,0.001748
9,1384.28,2.55724,1.53942,0.94682,0.54342,0.3926,0.40817,0.15004,2.5051,1.35806,0.88104,0.001712,0.001712,0.001712
10,1530.53,2.51924,1.50696,0.93652,0.55383,0.40646,0.41002,0.13909,2.51072,1.38531,0.88746,0.001676,0.001676,0.001676
11,1678.46,2.49492,1.48126,0.93475,0.54241,0.38728,0.39036,0.13055,2.58076,1.39436,0.89334,0.00164,0.00164,0.00164
12,1826.79,2.4772,1.47042,0.93262,0.58316,0.4151,0.42477,0.14921,2.47765,1.43561,0.88166,0.001604,0.001604,0.001604
13,1975.58,2.4806,1.46275,0.92807,0.57046,0.41402,0.42739,0.15061,2.44317,1.29279,0.87452,0.001568,0.001568,0.001568
14,2124.69,2.4559,1.45083,0.93153,0.56448,0.41737,0.43318,0.15858,2.44903,1.29491,0.88072,0.001532,0.001532,0.001532
15,2274.19,2.43182,1.42702,0.92425,0.58077,0.41094,0.42673,0.15353,2.46666,1.30199,0.87348,0.001496,0.001496,0.001496
16,2424.09,2.41671,1.40312,0.92388,0.59166,0.44047,0.45782,0.169,2.40471,1.25619,0.87305,0.00146,0.00146,0.00146
17,2573.3,2.40666,1.40897,0.92763,0.58756,0.4284,0.44816,0.16215,2.44119,1.29405,0.87448,0.001424,0.001424,0.001424
18,2722.02,2.40916,1.41959,0.91994,0.58523,0.43326,0.45687,0.17129,2.39147,1.28384,0.87239,0.001388,0.001388,0.001388
19,2875.22,2.4147,1.40791,0.91598,0.59599,0.43836,0.45621,0.16622,2.38533,1.26152,0.87494,0.001352,0.001352,0.001352
20,3026.07,2.37001,1.37678,0.9163,0.59584,0.44652,0.46371,0.16914,2.41843,1.26904,0.87176,0.001316,0.001316,0.001316
21,3175.27,2.36297,1.37669,0.92405,0.60354,0.44259,0.46528,0.16923,2.4304,1.26489,0.86786,0.00128,0.00128,0.00128
22,3321.47,2.35807,1.36688,0.91684,0.61225,0.44007,0.47773,0.17897,2.35426,1.22894,0.86269,0.001244,0.001244,0.001244
23,3468.84,2.35325,1.36245,0.91009,0.6022,0.44921,0.47918,0.17779,2.39201,1.22835,0.869,0.001208,0.001208,0.001208
24,3616.26,2.33444,1.34239,0.91374,0.61373,0.46506,0.49549,0.19153,2.28921,1.20026,0.85573,0.001172,0.001172,0.001172
25,3767.86,2.35078,1.3414,0.9028,0.6325,0.4589,0.49294,0.18046,2.37965,1.22979,0.86775,0.001136,0.001136,0.001136
26,3921.92,2.33696,1.32911,0.91103,0.61994,0.45176,0.48798,0.18821,2.30749,1.20995,0.8603,0.0011,0.0011,0.0011
27,4075.28,2.33098,1.3328,0.9004,0.6397,0.45162,0.4887,0.1875,2.34459,1.20557,0.86275,0.001064,0.001064,0.001064
28,4227.07,2.29567,1.30095,0.90924,0.64694,0.46298,0.5042,0.1921,2.31523,1.19836,0.85618,0.001028,0.001028,0.001028
29,4380.95,2.30046,1.31242,0.90312,0.64018,0.46204,0.49579,0.18185,2.33894,1.17933,0.85882,0.000992,0.000992,0.000992
30,4529.93,2.30292,1.30043,0.90601,0.63389,0.46153,0.50147,0.19329,2.29513,1.17283,0.85792,0.000956,0.000956,0.000956
31,4679.89,2.31192,1.30129,0.89631,0.63936,0.46597,0.50521,0.19652,2.27288,1.17183,0.85692,0.00092,0.00092,0.00092
32,4829.12,2.28275,1.28926,0.8989,0.62996,0.46583,0.50244,0.19407,2.28845,1.18099,0.85551,0.000884,0.000884,0.000884
33,4976.14,2.2682,1.27802,0.90034,0.64723,0.46175,0.50632,0.19818,2.27228,1.17682,0.85357,0.000848,0.000848,0.000848
34,5130.89,2.25713,1.26783,0.89847,0.65536,0.47914,0.52095,0.2025,2.26699,1.17024,0.84954,0.000812,0.000812,0.000812
35,5284.79,2.27447,1.26735,0.89333,0.64259,0.46335,0.50125,0.19365,2.29259,1.18779,0.855,0.000776,0.000776,0.000776
36,5442.08,2.26869,1.27017,0.89543,0.63798,0.47807,0.51558,0.20092,2.27502,1.15974,0.85313,0.00074,0.00074,0.00074
37,5595.37,2.2488,1.25183,0.89417,0.64803,0.47264,0.51331,0.20085,2.26865,1.15987,0.85407,0.000704,0.000704,0.000704
38,5746.02,2.22658,1.23825,0.89506,0.65545,0.47595,0.51943,0.20313,2.25753,1.14135,0.85216,0.000668,0.000668,0.000668
39,5896.59,2.22961,1.23961,0.89782,0.64479,0.47632,0.51873,0.2047,2.23723,1.13934,0.84955,0.000632,0.000632,0.000632
40,6047.03,2.24108,1.2413,0.88678,0.66228,0.4796,0.5237,0.20959,2.21277,1.134,0.84557,0.000596,0.000596,0.000596
41,6198.06,2.15418,1.22737,0.9076,0.65526,0.4761,0.51683,0.20332,2.24854,1.15193,0.84783,0.00056,0.00056,0.00056
42,6343.84,2.12913,1.20052,0.90218,0.64555,0.47748,0.52196,0.20662,2.22961,1.14376,0.8469,0.000524,0.000524,0.000524
43,6488.96,2.1379,1.20485,0.89975,0.65757,0.47916,0.52359,0.20462,2.24506,1.14261,0.84845,0.000488,0.000488,0.000488
44,6635,2.14776,1.21087,0.89869,0.6492,0.48139,0.5228,0.2057,2.23733,1.13222,0.84625,0.000452,0.000452,0.000452
45,6779.26,2.11743,1.19181,0.89706,0.65772,0.47493,0.52438,0.20845,2.21845,1.13852,0.84668,0.000416,0.000416,0.000416
46,6921.66,2.11622,1.18833,0.90003,0.65591,0.48711,0.52932,0.21208,2.20121,1.11903,0.84386,0.00038,0.00038,0.00038
47,7066.41,2.0845,1.17402,0.89946,0.65529,0.48659,0.52933,0.21141,2.21029,1.12025,0.84371,0.000344,0.000344,0.000344
48,7211.27,2.10451,1.17872,0.89535,0.65777,0.48412,0.52822,0.21021,2.21431,1.11921,0.84538,0.000308,0.000308,0.000308
49,7356.36,2.09325,1.16812,0.89644,0.65238,0.47741,0.52429,0.20984,2.20727,1.13218,0.84364,0.000272,0.000272,0.000272
50,7501.19,2.08061,1.16137,0.8899,0.65445,0.49061,0.53341,0.21563,2.19035,1.11652,0.84298,0.000236,0.000236,0.000236
